claim_id,claim,branch,phase,evidence,statistic,p_value,ci,n,status,strength,source_file
C01,Geomagnetic precursor probability increases toward earthquake occurrence,Detection,P3,"Spearman rho=-0.134, p<0.001, Bootstrap 95%CI=[-0.17,-0.10]",rho=-0.134,<0.001,"[-0.17,-0.10]",832 events,SUPPORTED,STRONG,debug/p2_detailed_leadtime.json
C02,Network-level aggregation reveals signal undetectable at individual stations,Detection,S1+S1.7,"Individual power=5-9%, network p<0.001; underpowering confirmed","Cohen d=0.021, power=5-9%",<0.001 (network),N/A,66 M5+ events,SUPPORTED,STRONG,debug/s17_power_analysis_verdict.json
C03,Station contributions are heterogeneous (non-uniform distribution),Detection,S1,Top-5 stations contribute 32.6%; Top-10 contribute 79.6%,"Top5=32.6%, Top10=79.6%",N/A,N/A,24 stations,SUPPORTED,STRONG,debug/s1_results.json
C04,Bayesian directional priors contribute substantially to azimuth accuracy,Azimuth,AZ2,"Prior ablation causes 20.16% MCE degradation; MAD=17.3°, KL=1.82",effect=20.16%,N/A (ablation),N/A,832 events,SUPPORTED,STRONG,debug/az2_results.json
C05,Bayesian prior adds quantifiable directional information,Azimuth,AZ4,MI(original)=0.932 bits vs MI(zero)=0.554 bits; ΔMI=0.378 bits,ΔMI=0.378 bits,N/A,N/A,832 events,SUPPORTED,STRONG,debug/az4_results.json
C06,Station-selective ensembling achieves operational-grade azimuth accuracy,Azimuth,BSE2,"Top-4 rank-weighted: MCE=27.45°, Acc±30°=78%, Acc±45°=83%",MCE=27.45°,N/A,N/A,832 events,SUPPORTED,STRONG,debug/bse2_results.json
C07,Prior alignment predicts station reliability,Azimuth,SR,"Spearman rho=+0.868, p<0.001 (angular_bias_proxy vs MCE)",rho=+0.868,<0.001,N/A,21 stations,SUPPORTED,STRONG,debug/sr_bse_results.json
C08,Station directional consensus increases before M5+ earthquakes,Consensus,AZ8Rc,"Hierarchical bootstrap: mean rho=+0.122, 95%CI=[+0.052,+0.191]",mean rho=+0.122,0.0012 (t-test),"[+0.052,+0.191]",65 M5+ events,SUPPORTED,STRONG,debug/az8_validation_complete.json
C09,65% of events show positive consensus trend (binomial test),Consensus,AZ8Rb,42/65 positive (binomial p=0.012); Wilcoxon p=0.0004,42/65 positive (64.6%),0.012 (binomial),N/A,65 M5+ events,SUPPORTED,MODERATE-STRONG,debug/az8_validation_complete.json
C10,Consensus dynamics are depth-modulated (shallow > deep),Consensus,AZ15,"Shallow (<50km): t=3.36, p=0.0009; Deep: t=1.58, p=0.06",shallow p=0.0009,0.0009 (shallow),N/A,"36 shallow, 29 deep events",SUPPORTED,STRONG,debug/az14_az15_results.json
C11,Near-window R significantly higher than far-window R,Consensus,AZ13,"R_near(T0-3)=0.988 vs R_far(T11-14)=0.987; t=4.83, p<0.0001",delta_R=+0.00153,<0.0001,"[+0.001,+0.002]",958 observations,SUPPORTED,STRONG,debug/az8_validation_complete.json
C12,Pairwise spread reduction is the proximate mechanism of R increase,Mechanism,AZ17,"days_before→spread: β=+0.123***, spread→R: β=-0.991***","beta=+0.123, -0.991","0.0001, <0.001",N/A,958 observations,SUPPORTED,STRONG,debug/az17_psem_results.json
C13,Prior alignment mediates within-event temporal dynamics,Mechanism,AZ17,"Path A: β=0.000, p=1.000; Serial indirect CI includes zero",beta=0.000,1.000,Includes zero,958 observations,REJECTED,N/A,debug/az17_psem_results.json
C14,Prior alignment predicts between-station quality (not temporal dynamics),Mechanism,AZ16+AZ17,Prior alignment→MCE: rho=+0.868 (between); path A p=1.0 (within),rho=+0.868 (between),<0.001 (between) / 1.0 (within),N/A,21 stations / 958 obs,SUPPORTED,STRONG,debug/az16_results.json
C15,V9.5 detection path outperforms V8,Detection,C0c,V8 and V9.5 share identical detection backbone,N/A,N/A,N/A,N/A,NOT_SUPPORTED,N/A,N/A
C16,Station-level temporal effects are statistically significant,Detection,S1,All station CIs include zero; power=5-9% (underpowered),power=5-9%,>0.05 (all stations),All include zero,24 stations,NOT_SUPPORTED (underpowered),N/A,debug/s1_results.json
